Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,1554,11566.5,11567.25,11563.75,11565.25
MNQ2022Z,06/12/2022,1555,11565,11567.25,11565,11566.25
MNQ2022Z,06/12/2022,1556,11566.5,11568.75,11566.5,11568
MNQ2022Z,06/12/2022,1557,11568,11569.25,11566.5,11567.5
MNQ2022Z,06/12/2022,1558,11567.5,11568.25,11561.5,11567
MNQ2022Z,06/12/2022,1559,11567,11569.5,11565.5,11566.75
MNQ2022Z,06/12/2022,1700,11568.5,11573.25,11560,11571
MNQ2022Z,06/12/2022,1701,11570.25,11573.5,11568.75,11572.5
MNQ2022Z,06/12/2022,1702,11573,11573.25,11569.75,11570.5
MNQ2022Z,06/12/2022,1703,11570.25,11573.25,11568.75,11572
MNQ2022Z,06/12/2022,1704,11572,11573.5,11571.5,11572.75
MNQ2022Z,06/12/2022,1705,11573,11574.25,11571.5,11572.5
MNQ2022Z,06/12/2022,1706,11572,11573,11571.25,11571.5
MNQ2022Z,06/12/2022,1707,11571.25,11572.75,11569.5,11572
MNQ2022Z,06/12/2022,1708,11572.25,11575.75,11572.25,11573.75
MNQ2022Z,06/12/2022,1709,11573.75,11574,11572,11572.5
MNQ2022Z,06/12/2022,1710,11572.75,11573.75,11571.75,11573.75
MNQ2022Z,06/12/2022,1711,11573.5,11574.25,11572.25,11574
MNQ2022Z,06/12/2022,1712,11574.25,11574.25,11572.5,11574
MNQ2022Z,06/12/2022,1713,11574.25,11574.5,11573.5,11573.75
MNQ2022Z,06/12/2022,1714,11574,11574.5,11573.25,11574.25
MNQ2022Z,06/12/2022,1715,11574,11574,11571,11571.25
MNQ2022Z,06/12/2022,1716,11571,11571.5,11568.75,11570.25
MNQ2022Z,06/12/2022,1717,11570.25,11571,11569.5,11570.5
MNQ2022Z,06/12/2022,1718,11570.25,11572.25,11570.25,11571.75
MNQ2022Z,06/12/2022,1719,11571.5,11573.25,11571.5,11572.75
MNQ2022Z,06/12/2022,1720,11573.25,11575,11572.75,11574.5
MNQ2022Z,06/12/2022,1721,11574.25,11574.5,11571,11571.25
MNQ2022Z,06/12/2022,1722,11571.75,11572.25,11570.75,11570.75
MNQ2022Z,06/12/2022,1723,11571.25,11571.25,11570,11570.75
MNQ2022Z,06/12/2022,1724,11571,11573.75,11571,11572.75
MNQ2022Z,06/12/2022,1725,11573.25,11573.5,11571.5,11572
MNQ2022Z,06/12/2022,1726,11572.25,11573.25,11571.75,11573.25
MNQ2022Z,06/12/2022,1727,11573.5,11575,11573,11575
MNQ2022Z,06/12/2022,1728,11575,11575.75,11573.75,11574.5
MNQ2022Z,06/12/2022,1729,11574.5,11574.5,11572.25,11574.5
MNQ2022Z,06/12/2022,1730,11573.75,11574,11572.25,11572.5
MNQ2022Z,06/12/2022,1731,11572.5,11573.5,11571.5,11572.75
MNQ2022Z,06/12/2022,1732,11573,11574.5,11572.25,11574
MNQ2022Z,06/12/2022,1733,11574,11576.75,11574,11575.25
MNQ2022Z,06/12/2022,1734,11575.75,11576.25,11574.5,11575.75
MNQ2022Z,06/12/2022,1735,11574.75,11575,11572.75,11572.75
MNQ2022Z,06/12/2022,1736,11573,11574.25,11572.75,11573.75
MNQ2022Z,06/12/2022,1737,11574,11575,11573.75,11574
MNQ2022Z,06/12/2022,1738,11574,11579.75,11574,11578.25
MNQ2022Z,06/12/2022,1739,11577.75,11581,11577,11580.25
MNQ2022Z,06/12/2022,1740,11580,11581.25,11579.5,11580
MNQ2022Z,06/12/2022,1741,11580,11581.25,11580,11580.75
MNQ2022Z,06/12/2022,1742,11581,11582.25,11580.75,11581.25
MNQ2022Z,06/12/2022,1743,11581.25,11581.25,11579.5,11580
MNQ2022Z,06/12/2022,1744,11580,11580,11578,11578.75
MNQ2022Z,06/12/2022,1745,11578.75,11580.5,11578.5,11579.75
MNQ2022Z,06/12/2022,1746,11580,11580.5,11578.75,11578.75
MNQ2022Z,06/12/2022,1747,11578.75,11579.25,11577.5,11578.5
MNQ2022Z,06/12/2022,1748,11578,11578,11576.5,11576.75
MNQ2022Z,06/12/2022,1749,11576.25,11578.5,11576,11577.75
MNQ2022Z,06/12/2022,1750,11577.75,11582,11577.75,11580.25
MNQ2022Z,06/12/2022,1751,11580,11580.25,11576.5,11576.75
MNQ2022Z,06/12/2022,1752,11577,11579.25,11577,11578
MNQ2022Z,06/12/2022,1753,11577.75,11578.5,11577.5,11578.5
MNQ2022Z,06/12/2022,1754,11579,11581.75,11578.5,11581.75
MNQ2022Z,06/12/2022,1755,11581.75,11582,11580,11580
MNQ2022Z,06/12/2022,1756,11580.25,11580.75,11579.25,11579.25
MNQ2022Z,06/12/2022,1757,11579.75,11579.75,11578.25,11579.75
MNQ2022Z,06/12/2022,1758,11579.5,11580.25,11579,11579.25
MNQ2022Z,06/12/2022,1759,11579.5,11579.5,11578.25,11578.25
MNQ2022Z,06/12/2022,1800,11578.75,11585.5,11577.5,11584
MNQ2022Z,06/12/2022,1801,11584,11586.75,11583.5,11585.25
MNQ2022Z,06/12/2022,1802,11584.75,11586,11583,11584.25
MNQ2022Z,06/12/2022,1803,11584.25,11586,11583.75,11585.5
MNQ2022Z,06/12/2022,1804,11585.25,11586.5,11583.5,11586.5
MNQ2022Z,06/12/2022,1805,11586.5,11587.25,11585,11585.25
MNQ2022Z,06/12/2022,1806,11585.25,11585.5,11583,11584
MNQ2022Z,06/12/2022,1807,11584,11584,11582.25,11582.25
MNQ2022Z,06/12/2022,1808,11582.75,11586.5,11582.5,11585.75
MNQ2022Z,06/12/2022,1809,11585.5,11586.75,11584.5,11585.25
MNQ2022Z,06/12/2022,1810,11585,11586,11584,11585.75
MNQ2022Z,06/12/2022,1811,11585.75,11587.5,11584.5,11587
MNQ2022Z,06/12/2022,1812,11587,11587.5,11583.75,11584
